surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
Pt	211	CHCO	3.13	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CHCO	3.66	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CHCO	2.69	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CHCO	3.43	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CHCO	4.17	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH-CO	3.761	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH-CO	4.321	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH-CO	6.461	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH-CO	7.291	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH-CO	7.731	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CHCOH	2.93	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CHCOH	4.71	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CHCOH	2.85	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CHCOH	5.63	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CHCOH	3.46	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	O-H	1.6	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	O-H	1.63	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	O-H	0.27	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	O-H	0.73	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	O-H	0.6	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	O-H	0.68	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	O-H	2.8	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	O-H	3.18	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	O-H	1.75	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re	211	C-O	1.21	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Fe	211	C-O	2.5	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	C-O	2.8	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	C-O	3.03	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	C-O	3.113	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Co	211	C-O	3.19	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	C-O	3.43	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	C-O	4.11	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	C-O	4.63	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	C-O	8.07	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	C-O	8.18	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CH2	2.3	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH3CH2	1.06	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3CH2	1.94	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CH2	1.91	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CH2	1.22	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CH2	1.26	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CH2	1.51	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3-CH2	4.63	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3-CH2	4.05	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3-CH2	2.64	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3-CH2	2.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH3-CH2	2.33	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CH2-H	2.52	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CH2-H	1.48	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CH2-H	1.45	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CH2-H	3.04	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3CH2-H	2.59	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CH2O	1.76	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CH2O	2.5	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CH2O	1.85	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CH2O	2.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CHOH	2.76	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CHOH	1.09	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CHOH	1.58	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CHOH	1.48	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2CH2	1.48	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2CH2	1.58	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2CH2	2.26	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2CH2	2.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2CH2	1.72	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CCO	4.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CCO	4.12	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CCO	4.02	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CCO	5.21	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CCO	3.55	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	C-CO	4.12	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	C-CO	4.34	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	C-CO	4.67	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	C-CO	4.83	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	C-CO	6.72	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	C-CO	7.89	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	C-CO	8.49	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3-O	2.32	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3-O	3.12	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3-O	3.14	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3-O	3.48	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3-O	4.2	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH3-CH3	2.42	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3-CH3	2.72	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3-CH3	3.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3-CH3	3.75	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3-CH3	4.41	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3-CH3	4.53	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3CH2-O	4.61	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH3CH2-O	2.26	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3CH2-O	4.87	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3CH2-O	3.67	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3CH2-O	3.37	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3CH2-O	2.6	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3CH2-O	3.88	fcc	[]	[]	Fatima Jalid Tuhin S Khan
							
							
							
							
							
							
